,density,minority_pc,homophily,Run,Density,Homophily,MaxSteps,MinorityPC,height,width,max_steps
0,0.1,0.1,1,0,0.1,1,200,0.1,20,20,200
1,0.1,0.1,1,1,0.1,1,200,0.1,20,20,200
2,0.1,0.1,1,2,0.1,1,200,0.1,20,20,200
3,0.1,0.1,1,3,0.1,1,200,0.1,20,20,200
4,0.1,0.1,1,4,0.1,1,200,0.1,20,20,200
5,0.1,0.1,1,5,0.1,1,200,0.1,20,20,200
6,0.1,0.1,1,6,0.1,1,200,0.1,20,20,200
7,0.1,0.1,1,7,0.1,1,200,0.1,20,20,200
8,0.1,0.1,1,8,0.1,1,200,0.1,20,20,200
9,0.1,0.1,1,9,0.1,1,200,0.1,20,20,200
10,0.1,0.1,3,10,0.1,3,200,0.1,20,20,200
11,0.1,0.1,3,11,0.1,3,200,0.1,20,20,200
12,0.1,0.1,3,12,0.1,3,200,0.1,20,20,200
13,0.1,0.1,3,13,0.1,3,200,0.1,20,20,200
14,0.1,0.1,3,14,0.1,3,200,0.1,20,20,200
15,0.1,0.1,3,15,0.1,3,200,0.1,20,20,200
16,0.1,0.1,3,16,0.1,3,200,0.1,20,20,200
17,0.1,0.1,3,17,0.1,3,200,0.1,20,20,200
18,0.1,0.1,3,18,0.1,3,200,0.1,20,20,200
19,0.1,0.1,3,19,0.1,3,200,0.1,20,20,200
20,0.1,0.1,6,20,0.1,6,200,0.1,20,20,200
21,0.1,0.1,6,21,0.1,6,200,0.1,20,20,200
22,0.1,0.1,6,22,0.1,6,200,0.1,20,20,200
23,0.1,0.1,6,23,0.1,6,200,0.1,20,20,200
24,0.1,0.1,6,24,0.1,6,200,0.1,20,20,200
25,0.1,0.1,6,25,0.1,6,200,0.1,20,20,200
26,0.1,0.1,6,26,0.1,6,200,0.1,20,20,200
27,0.1,0.1,6,27,0.1,6,200,0.1,20,20,200
28,0.1,0.1,6,28,0.1,6,200,0.1,20,20,200
29,0.1,0.1,6,29,0.1,6,200,0.1,20,20,200
30,0.1,0.1,7,30,0.1,7,200,0.1,20,20,200
31,0.1,0.1,7,31,0.1,7,200,0.1,20,20,200
32,0.1,0.1,7,32,0.1,7,200,0.1,20,20,200
33,0.1,0.1,7,33,0.1,7,200,0.1,20,20,200
34,0.1,0.1,7,34,0.1,7,200,0.1,20,20,200
35,0.1,0.1,7,35,0.1,7,200,0.1,20,20,200
36,0.1,0.1,7,36,0.1,7,200,0.1,20,20,200
37,0.1,0.1,7,37,0.1,7,200,0.1,20,20,200
38,0.1,0.1,7,38,0.1,7,200,0.1,20,20,200
39,0.1,0.1,7,39,0.1,7,200,0.1,20,20,200
40,0.1,0.2,1,40,0.1,1,200,0.2,20,20,200
41,0.1,0.2,1,41,0.1,1,200,0.2,20,20,200
42,0.1,0.2,1,42,0.1,1,200,0.2,20,20,200
43,0.1,0.2,1,43,0.1,1,200,0.2,20,20,200
44,0.1,0.2,1,44,0.1,1,200,0.2,20,20,200
45,0.1,0.2,1,45,0.1,1,200,0.2,20,20,200
46,0.1,0.2,1,46,0.1,1,200,0.2,20,20,200
47,0.1,0.2,1,47,0.1,1,200,0.2,20,20,200
48,0.1,0.2,1,48,0.1,1,200,0.2,20,20,200
49,0.1,0.2,1,49,0.1,1,200,0.2,20,20,200
50,0.1,0.2,3,50,0.1,3,200,0.2,20,20,200
51,0.1,0.2,3,51,0.1,3,200,0.2,20,20,200
52,0.1,0.2,3,52,0.1,3,200,0.2,20,20,200
53,0.1,0.2,3,53,0.1,3,200,0.2,20,20,200
54,0.1,0.2,3,54,0.1,3,200,0.2,20,20,200
55,0.1,0.2,3,55,0.1,3,200,0.2,20,20,200
56,0.1,0.2,3,56,0.1,3,200,0.2,20,20,200
57,0.1,0.2,3,57,0.1,3,200,0.2,20,20,200
58,0.1,0.2,3,58,0.1,3,200,0.2,20,20,200
59,0.1,0.2,3,59,0.1,3,200,0.2,20,20,200
60,0.1,0.2,6,60,0.1,6,200,0.2,20,20,200
61,0.1,0.2,6,61,0.1,6,200,0.2,20,20,200
62,0.1,0.2,6,62,0.1,6,200,0.2,20,20,200
63,0.1,0.2,6,63,0.1,6,200,0.2,20,20,200
64,0.1,0.2,6,64,0.1,6,200,0.2,20,20,200
65,0.1,0.2,6,65,0.1,6,200,0.2,20,20,200
66,0.1,0.2,6,66,0.1,6,200,0.2,20,20,200
67,0.1,0.2,6,67,0.1,6,200,0.2,20,20,200
68,0.1,0.2,6,68,0.1,6,200,0.2,20,20,200
69,0.1,0.2,6,69,0.1,6,200,0.2,20,20,200
70,0.1,0.2,7,70,0.1,7,200,0.2,20,20,200
71,0.1,0.2,7,71,0.1,7,200,0.2,20,20,200
72,0.1,0.2,7,72,0.1,7,200,0.2,20,20,200
73,0.1,0.2,7,73,0.1,7,200,0.2,20,20,200
74,0.1,0.2,7,74,0.1,7,200,0.2,20,20,200
75,0.1,0.2,7,75,0.1,7,200,0.2,20,20,200
76,0.1,0.2,7,76,0.1,7,200,0.2,20,20,200
77,0.1,0.2,7,77,0.1,7,200,0.2,20,20,200
78,0.1,0.2,7,78,0.1,7,200,0.2,20,20,200
79,0.1,0.2,7,79,0.1,7,200,0.2,20,20,200
80,0.1,0.4,1,80,0.1,1,200,0.4,20,20,200
81,0.1,0.4,1,81,0.1,1,200,0.4,20,20,200
82,0.1,0.4,1,82,0.1,1,200,0.4,20,20,200
83,0.1,0.4,1,83,0.1,1,200,0.4,20,20,200
84,0.1,0.4,1,84,0.1,1,200,0.4,20,20,200
85,0.1,0.4,1,85,0.1,1,200,0.4,20,20,200
86,0.1,0.4,1,86,0.1,1,200,0.4,20,20,200
87,0.1,0.4,1,87,0.1,1,200,0.4,20,20,200
88,0.1,0.4,1,88,0.1,1,200,0.4,20,20,200
89,0.1,0.4,1,89,0.1,1,200,0.4,20,20,200
90,0.1,0.4,3,90,0.1,3,200,0.4,20,20,200
91,0.1,0.4,3,91,0.1,3,200,0.4,20,20,200
92,0.1,0.4,3,92,0.1,3,200,0.4,20,20,200
93,0.1,0.4,3,93,0.1,3,200,0.4,20,20,200
94,0.1,0.4,3,94,0.1,3,200,0.4,20,20,200
95,0.1,0.4,3,95,0.1,3,200,0.4,20,20,200
96,0.1,0.4,3,96,0.1,3,200,0.4,20,20,200
97,0.1,0.4,3,97,0.1,3,200,0.4,20,20,200
98,0.1,0.4,3,98,0.1,3,200,0.4,20,20,200
99,0.1,0.4,3,99,0.1,3,200,0.4,20,20,200
100,0.1,0.4,6,100,0.1,6,200,0.4,20,20,200
101,0.1,0.4,6,101,0.1,6,200,0.4,20,20,200
102,0.1,0.4,6,102,0.1,6,200,0.4,20,20,200
103,0.1,0.4,6,103,0.1,6,200,0.4,20,20,200
104,0.1,0.4,6,104,0.1,6,200,0.4,20,20,200
105,0.1,0.4,6,105,0.1,6,200,0.4,20,20,200
106,0.1,0.4,6,106,0.1,6,200,0.4,20,20,200
107,0.1,0.4,6,107,0.1,6,200,0.4,20,20,200
108,0.1,0.4,6,108,0.1,6,200,0.4,20,20,200
109,0.1,0.4,6,109,0.1,6,200,0.4,20,20,200
110,0.1,0.4,7,110,0.1,7,200,0.4,20,20,200
111,0.1,0.4,7,111,0.1,7,200,0.4,20,20,200
112,0.1,0.4,7,112,0.1,7,200,0.4,20,20,200
113,0.1,0.4,7,113,0.1,7,200,0.4,20,20,200
114,0.1,0.4,7,114,0.1,7,200,0.4,20,20,200
115,0.1,0.4,7,115,0.1,7,200,0.4,20,20,200
116,0.1,0.4,7,116,0.1,7,200,0.4,20,20,200
117,0.1,0.4,7,117,0.1,7,200,0.4,20,20,200
118,0.1,0.4,7,118,0.1,7,200,0.4,20,20,200
119,0.1,0.4,7,119,0.1,7,200,0.4,20,20,200
120,0.1,0.8,1,120,0.1,1,200,0.8,20,20,200
121,0.1,0.8,1,121,0.1,1,200,0.8,20,20,200
122,0.1,0.8,1,122,0.1,1,200,0.8,20,20,200
123,0.1,0.8,1,123,0.1,1,200,0.8,20,20,200
124,0.1,0.8,1,124,0.1,1,200,0.8,20,20,200
125,0.1,0.8,1,125,0.1,1,200,0.8,20,20,200
126,0.1,0.8,1,126,0.1,1,200,0.8,20,20,200
127,0.1,0.8,1,127,0.1,1,200,0.8,20,20,200
128,0.1,0.8,1,128,0.1,1,200,0.8,20,20,200
129,0.1,0.8,1,129,0.1,1,200,0.8,20,20,200
130,0.1,0.8,3,130,0.1,3,200,0.8,20,20,200
131,0.1,0.8,3,131,0.1,3,200,0.8,20,20,200
132,0.1,0.8,3,132,0.1,3,200,0.8,20,20,200
133,0.1,0.8,3,133,0.1,3,200,0.8,20,20,200
134,0.1,0.8,3,134,0.1,3,200,0.8,20,20,200
135,0.1,0.8,3,135,0.1,3,200,0.8,20,20,200
136,0.1,0.8,3,136,0.1,3,200,0.8,20,20,200
137,0.1,0.8,3,137,0.1,3,200,0.8,20,20,200
138,0.1,0.8,3,138,0.1,3,200,0.8,20,20,200
139,0.1,0.8,3,139,0.1,3,200,0.8,20,20,200
140,0.1,0.8,6,140,0.1,6,200,0.8,20,20,200
141,0.1,0.8,6,141,0.1,6,200,0.8,20,20,200
142,0.1,0.8,6,142,0.1,6,200,0.8,20,20,200
143,0.1,0.8,6,143,0.1,6,200,0.8,20,20,200
144,0.1,0.8,6,144,0.1,6,200,0.8,20,20,200
145,0.1,0.8,6,145,0.1,6,200,0.8,20,20,200
146,0.1,0.8,6,146,0.1,6,200,0.8,20,20,200
147,0.1,0.8,6,147,0.1,6,200,0.8,20,20,200
148,0.1,0.8,6,148,0.1,6,200,0.8,20,20,200
149,0.1,0.8,6,149,0.1,6,200,0.8,20,20,200
150,0.1,0.8,7,150,0.1,7,200,0.8,20,20,200
151,0.1,0.8,7,151,0.1,7,200,0.8,20,20,200
152,0.1,0.8,7,152,0.1,7,200,0.8,20,20,200
153,0.1,0.8,7,153,0.1,7,200,0.8,20,20,200
154,0.1,0.8,7,154,0.1,7,200,0.8,20,20,200
155,0.1,0.8,7,155,0.1,7,200,0.8,20,20,200
156,0.1,0.8,7,156,0.1,7,200,0.8,20,20,200
157,0.1,0.8,7,157,0.1,7,200,0.8,20,20,200
158,0.1,0.8,7,158,0.1,7,200,0.8,20,20,200
159,0.1,0.8,7,159,0.1,7,200,0.8,20,20,200
160,0.2,0.1,1,160,0.2,1,200,0.1,20,20,200
161,0.2,0.1,1,161,0.2,1,200,0.1,20,20,200
162,0.2,0.1,1,162,0.2,1,200,0.1,20,20,200
163,0.2,0.1,1,163,0.2,1,200,0.1,20,20,200
164,0.2,0.1,1,164,0.2,1,200,0.1,20,20,200
165,0.2,0.1,1,165,0.2,1,200,0.1,20,20,200
166,0.2,0.1,1,166,0.2,1,200,0.1,20,20,200
167,0.2,0.1,1,167,0.2,1,200,0.1,20,20,200
168,0.2,0.1,1,168,0.2,1,200,0.1,20,20,200
169,0.2,0.1,1,169,0.2,1,200,0.1,20,20,200
170,0.2,0.1,3,170,0.2,3,200,0.1,20,20,200
171,0.2,0.1,3,171,0.2,3,200,0.1,20,20,200
172,0.2,0.1,3,172,0.2,3,200,0.1,20,20,200
173,0.2,0.1,3,173,0.2,3,200,0.1,20,20,200
174,0.2,0.1,3,174,0.2,3,200,0.1,20,20,200
175,0.2,0.1,3,175,0.2,3,200,0.1,20,20,200
176,0.2,0.1,3,176,0.2,3,200,0.1,20,20,200
177,0.2,0.1,3,177,0.2,3,200,0.1,20,20,200
178,0.2,0.1,3,178,0.2,3,200,0.1,20,20,200
179,0.2,0.1,3,179,0.2,3,200,0.1,20,20,200
180,0.2,0.1,6,180,0.2,6,200,0.1,20,20,200
181,0.2,0.1,6,181,0.2,6,200,0.1,20,20,200
182,0.2,0.1,6,182,0.2,6,200,0.1,20,20,200
183,0.2,0.1,6,183,0.2,6,200,0.1,20,20,200
184,0.2,0.1,6,184,0.2,6,200,0.1,20,20,200
185,0.2,0.1,6,185,0.2,6,200,0.1,20,20,200
186,0.2,0.1,6,186,0.2,6,200,0.1,20,20,200
187,0.2,0.1,6,187,0.2,6,200,0.1,20,20,200
188,0.2,0.1,6,188,0.2,6,200,0.1,20,20,200
189,0.2,0.1,6,189,0.2,6,200,0.1,20,20,200
190,0.2,0.1,7,190,0.2,7,200,0.1,20,20,200
191,0.2,0.1,7,191,0.2,7,200,0.1,20,20,200
192,0.2,0.1,7,192,0.2,7,200,0.1,20,20,200
193,0.2,0.1,7,193,0.2,7,200,0.1,20,20,200
194,0.2,0.1,7,194,0.2,7,200,0.1,20,20,200
195,0.2,0.1,7,195,0.2,7,200,0.1,20,20,200
196,0.2,0.1,7,196,0.2,7,200,0.1,20,20,200
197,0.2,0.1,7,197,0.2,7,200,0.1,20,20,200
198,0.2,0.1,7,198,0.2,7,200,0.1,20,20,200
199,0.2,0.1,7,199,0.2,7,200,0.1,20,20,200
200,0.2,0.2,1,200,0.2,1,200,0.2,20,20,200
201,0.2,0.2,1,201,0.2,1,200,0.2,20,20,200
202,0.2,0.2,1,202,0.2,1,200,0.2,20,20,200
203,0.2,0.2,1,203,0.2,1,200,0.2,20,20,200
204,0.2,0.2,1,204,0.2,1,200,0.2,20,20,200
205,0.2,0.2,1,205,0.2,1,200,0.2,20,20,200
206,0.2,0.2,1,206,0.2,1,200,0.2,20,20,200
207,0.2,0.2,1,207,0.2,1,200,0.2,20,20,200
208,0.2,0.2,1,208,0.2,1,200,0.2,20,20,200
209,0.2,0.2,1,209,0.2,1,200,0.2,20,20,200
210,0.2,0.2,3,210,0.2,3,200,0.2,20,20,200
211,0.2,0.2,3,211,0.2,3,200,0.2,20,20,200
212,0.2,0.2,3,212,0.2,3,200,0.2,20,20,200
213,0.2,0.2,3,213,0.2,3,200,0.2,20,20,200
214,0.2,0.2,3,214,0.2,3,200,0.2,20,20,200
215,0.2,0.2,3,215,0.2,3,200,0.2,20,20,200
216,0.2,0.2,3,216,0.2,3,200,0.2,20,20,200
217,0.2,0.2,3,217,0.2,3,200,0.2,20,20,200
218,0.2,0.2,3,218,0.2,3,200,0.2,20,20,200
219,0.2,0.2,3,219,0.2,3,200,0.2,20,20,200
220,0.2,0.2,6,220,0.2,6,200,0.2,20,20,200
221,0.2,0.2,6,221,0.2,6,200,0.2,20,20,200
222,0.2,0.2,6,222,0.2,6,200,0.2,20,20,200
223,0.2,0.2,6,223,0.2,6,200,0.2,20,20,200
224,0.2,0.2,6,224,0.2,6,200,0.2,20,20,200
225,0.2,0.2,6,225,0.2,6,200,0.2,20,20,200
226,0.2,0.2,6,226,0.2,6,200,0.2,20,20,200
227,0.2,0.2,6,227,0.2,6,200,0.2,20,20,200
228,0.2,0.2,6,228,0.2,6,200,0.2,20,20,200
229,0.2,0.2,6,229,0.2,6,200,0.2,20,20,200
230,0.2,0.2,7,230,0.2,7,200,0.2,20,20,200
231,0.2,0.2,7,231,0.2,7,200,0.2,20,20,200
232,0.2,0.2,7,232,0.2,7,200,0.2,20,20,200
233,0.2,0.2,7,233,0.2,7,200,0.2,20,20,200
234,0.2,0.2,7,234,0.2,7,200,0.2,20,20,200
235,0.2,0.2,7,235,0.2,7,200,0.2,20,20,200
236,0.2,0.2,7,236,0.2,7,200,0.2,20,20,200
237,0.2,0.2,7,237,0.2,7,200,0.2,20,20,200
238,0.2,0.2,7,238,0.2,7,200,0.2,20,20,200
239,0.2,0.2,7,239,0.2,7,200,0.2,20,20,200
240,0.2,0.4,1,240,0.2,1,200,0.4,20,20,200
241,0.2,0.4,1,241,0.2,1,200,0.4,20,20,200
242,0.2,0.4,1,242,0.2,1,200,0.4,20,20,200
243,0.2,0.4,1,243,0.2,1,200,0.4,20,20,200
244,0.2,0.4,1,244,0.2,1,200,0.4,20,20,200
245,0.2,0.4,1,245,0.2,1,200,0.4,20,20,200
246,0.2,0.4,1,246,0.2,1,200,0.4,20,20,200
247,0.2,0.4,1,247,0.2,1,200,0.4,20,20,200
248,0.2,0.4,1,248,0.2,1,200,0.4,20,20,200
249,0.2,0.4,1,249,0.2,1,200,0.4,20,20,200
250,0.2,0.4,3,250,0.2,3,200,0.4,20,20,200
251,0.2,0.4,3,251,0.2,3,200,0.4,20,20,200
252,0.2,0.4,3,252,0.2,3,200,0.4,20,20,200
253,0.2,0.4,3,253,0.2,3,200,0.4,20,20,200
254,0.2,0.4,3,254,0.2,3,200,0.4,20,20,200
255,0.2,0.4,3,255,0.2,3,200,0.4,20,20,200
256,0.2,0.4,3,256,0.2,3,200,0.4,20,20,200
257,0.2,0.4,3,257,0.2,3,200,0.4,20,20,200
258,0.2,0.4,3,258,0.2,3,200,0.4,20,20,200
259,0.2,0.4,3,259,0.2,3,200,0.4,20,20,200
260,0.2,0.4,6,260,0.2,6,200,0.4,20,20,200
261,0.2,0.4,6,261,0.2,6,200,0.4,20,20,200
262,0.2,0.4,6,262,0.2,6,200,0.4,20,20,200
263,0.2,0.4,6,263,0.2,6,200,0.4,20,20,200
264,0.2,0.4,6,264,0.2,6,200,0.4,20,20,200
265,0.2,0.4,6,265,0.2,6,200,0.4,20,20,200
266,0.2,0.4,6,266,0.2,6,200,0.4,20,20,200
267,0.2,0.4,6,267,0.2,6,200,0.4,20,20,200
268,0.2,0.4,6,268,0.2,6,200,0.4,20,20,200
269,0.2,0.4,6,269,0.2,6,200,0.4,20,20,200
270,0.2,0.4,7,270,0.2,7,200,0.4,20,20,200
271,0.2,0.4,7,271,0.2,7,200,0.4,20,20,200
272,0.2,0.4,7,272,0.2,7,200,0.4,20,20,200
273,0.2,0.4,7,273,0.2,7,200,0.4,20,20,200
274,0.2,0.4,7,274,0.2,7,200,0.4,20,20,200
275,0.2,0.4,7,275,0.2,7,200,0.4,20,20,200
276,0.2,0.4,7,276,0.2,7,200,0.4,20,20,200
277,0.2,0.4,7,277,0.2,7,200,0.4,20,20,200
278,0.2,0.4,7,278,0.2,7,200,0.4,20,20,200
279,0.2,0.4,7,279,0.2,7,200,0.4,20,20,200
280,0.2,0.8,1,280,0.2,1,200,0.8,20,20,200
281,0.2,0.8,1,281,0.2,1,200,0.8,20,20,200
282,0.2,0.8,1,282,0.2,1,200,0.8,20,20,200
283,0.2,0.8,1,283,0.2,1,200,0.8,20,20,200
284,0.2,0.8,1,284,0.2,1,200,0.8,20,20,200
285,0.2,0.8,1,285,0.2,1,200,0.8,20,20,200
286,0.2,0.8,1,286,0.2,1,200,0.8,20,20,200
287,0.2,0.8,1,287,0.2,1,200,0.8,20,20,200
288,0.2,0.8,1,288,0.2,1,200,0.8,20,20,200
289,0.2,0.8,1,289,0.2,1,200,0.8,20,20,200
290,0.2,0.8,3,290,0.2,3,200,0.8,20,20,200
291,0.2,0.8,3,291,0.2,3,200,0.8,20,20,200
292,0.2,0.8,3,292,0.2,3,200,0.8,20,20,200
293,0.2,0.8,3,293,0.2,3,200,0.8,20,20,200
